vernacular_names;species;vernacular_names2;species2;s3;s4;s5;s6
Breitblättrige P.;– P. latifolia LAPEYR.7 (4) BlRand kahl ;Breitblättrige P.;P. latifolia LAPEYR.7 (4) BlRand kahl ;P. latifolia LAPEYR.7 (4) BlRand kahl ;P. latifolia LAPEYR.;P. latifolia LAPEYR.;P. latifolia
Ansehnliche P.;– P. spectabilis TRATT.8* Bl ohne durchs;Ansehnliche P.;P. spectabilis TRATT.8* Bl ohne durchs;P. spectabilis TRATT.8* Bl ohne durchs;P. spectabilis TRATT.;P. spectabilis TRATT.;P. spectabilis
Zwerg-P., Habmichlieb;– P. minima L.9* Bl lanzettlich, länglic;Zwerg-P., Habmichlieb;P. minima L.9* Bl lanzettlich, länglic;P. minima L.9* Bl lanzettlich, länglic;P. minima L.;P. minima L.;P. minima
Wulfen-P., Südostalpen-P.;– P. wulfeniana SCHOTT10* BStand 3–5(–6);Wulfen-P., Südostalpen-P.;P. wulfeniana SCHOTT10* BStand 3–5(–6);P. wulfeniana SCHOTT10* BStand 3–5(–6);P. wulfeniana SCHOTT;P. wulfeniana SCHOTT;P. wulfeniana
Meergrüne P.;– P. glaucescens MORETTI;Meergrüne P.;P. glaucescens MORETTI;P. glaucescens MORETTI;P. glaucescens MORETTI;P. glaucescens MORETTI;P. glaucescens
Piemont-P.;– P. pedemontana D. THOMAS ex GAUDIN12* ;Piemont-P.;P. pedemontana D. THOMAS ex GAUDIN12* ;P. pedemontana D. THOMAS ex GAUDIN12* ;P. pedemontana D. THOMAS ex GAUDIN;P. pedemontana D. THOMAS ex GAUDIN;P. pedemontana
Zottige P.;– P. villosa WULFEN;Zottige P.;P. villosa WULFEN;P. villosa WULFEN;P. villosa WULFEN;P. villosa WULFEN;P. villosa
Behaarte P.;– P. hirsuta ALL.;Behaarte P.;P. hirsuta ALL.;P. hirsuta ALL.;P. hirsuta ALL.;P. hirsuta ALL.;P. hirsuta
Allioni-P.;– P. allionii LOISEL.14* Schaft > 5 mm l;Allioni-P.;P. allionii LOISEL.14* Schaft > 5 mm l;P. allionii LOISEL.14* Schaft > 5 mm l;P. allionii LOISEL.;P. allionii LOISEL.;P. allionii
Ganzblättrige P.;– P. integrifolia L.;Ganzblättrige P.;P. integrifolia L.;P. integrifolia L.;P. integrifolia L.;P. integrifolia L.;P. integrifolia
Clusius-P.;– P. clusiana TAUSCH;Clusius-P.;P. clusiana TAUSCH;P. clusiana TAUSCH;P. clusiana TAUSCH;P. clusiana TAUSCH;P. clusiana
Schwarzmeer-P.;– P. megaseifolia BOISS. et BALF.;Schwarzmeer-P.;P. megaseifolia BOISS. et BALF.;P. megaseifolia BOISS. et BALF.;P. megaseifolia BOISS. et BALF.;P. megaseifolia BOISS. et BALF.;P. megaseifolia
Teppich-P.;– P. juliae KUSN.;Teppich-P.;P. juliae KUSN.;P. juliae KUSN.;P. juliae KUSN.;P. juliae KUSN.;P. juliae
Clark-P.;– P. clarkei G. WATT;Clark-P.;P. clarkei G. WATT;P. clarkei G. WATT;P. clarkei G. WATT;P. clarkei G. WATT;P. clarkei
Vielnervige P., Veitch-P.;– P. polyneura FRANCH.21* BlSpreite eifg;Vielnervige P., Veitch-P.;P. polyneura FRANCH.21* BlSpreite eifg;P. polyneura FRANCH.21* BlSpreite eifg;P. polyneura FRANCH.;P. polyneura FRANCH.;P. polyneura
Siebold-P.;– P. sieboldii E. MORREN22* KZipfel aufr;Siebold-P.;P. sieboldii E. MORREN22* KZipfel aufr;P. sieboldii E. MORREN22* KZipfel aufr;P. sieboldii E. MORREN;P. sieboldii E. MORREN;P. sieboldii
Heilglöckel-P.;– P. cortusoides L.23 (17) Schaft fehlen;Heilglöckel-P.;P. cortusoides L.23 (17) Schaft fehlen;P. cortusoides L.23 (17) Schaft fehlen;P. cortusoides L.;P. cortusoides L.;P. cortusoides
Schaftlose P.;– P. vulgaris HUDS.;Schaftlose P.;P. vulgaris HUDS.;P. vulgaris HUDS.;P. vulgaris HUDS.;P. vulgaris HUDS.;P. vulgaris
Ähren-P.;– P. flaccida N. P. BALAKR.;Ähren-P.;P. flaccida N. P. BALAKR.;P. flaccida N. P. BALAKR.;P. flaccida N. P. BALAKR.;P. flaccida N. P. BALAKR.;P. flaccida
Orchideen-P.;– P. vialii DELAVAY ex FRANCH.26 (24) B ;Orchideen-P.;P. vialii DELAVAY ex FRANCH.26 (24) B ;P. vialii DELAVAY ex FRANCH.26 (24) B ;P. vialii DELAVAY ex FRANCH.;P. vialii DELAVAY ex FRANCH.;P. vialii
Reid-P.;– P. reidii DUTHIE27* BStand mit >15 B  ;Reid-P.;P. reidii DUTHIE27* BStand mit >15 B  ;P. reidii DUTHIE27* BStand mit >15 B  ;P. reidii DUTHIE;P. reidii DUTHIE;P. reidii
Kopf-P.;– P. capitata HOOK f.Unterarten:subsp. c;Kopf-P.;P. capitata HOOK f.Unterarten:subsp. c;P. capitata HOOK f.Unterarten:subsp. c;P. capitata HOOK f.Unterarten;P. capitata HOOK f.Unterarten;P. capitata
Kugel-P.;– P. denticulata SM.;Kugel-P.;P. denticulata SM.;P. denticulata SM.;P. denticulata SM.;P. denticulata SM.;P. denticulata
Wiesen-P., Wiesenschlüsselblume, Himmelschlüssel;– P. veris L.34* Bl useits kahl. Schaft ;Wiesen-P., Wiesenschlüsselblume, Himmelschlüssel;P. veris L.34* Bl useits kahl. Schaft ;P. veris L.34* Bl useits kahl. Schaft ;P. veris L.;P. veris L.;P. veris
Tibet-P.;– P. florindae KINGDON-WARD;Tibet-P.;P. florindae KINGDON-WARD;P. florindae KINGDON-WARD;P. florindae KINGDON-WARD;P. florindae KINGDON-WARD;P. florindae
Rosen-P.;– P. rosea ROYLE36* Bl u. Schaft mehlig ;Rosen-P.;P. rosea ROYLE36* Bl u. Schaft mehlig ;P. rosea ROYLE36* Bl u. Schaft mehlig ;P. rosea ROYLE;P. rosea ROYLE;P. rosea
Mehl-P.;– P. farinosa L.Ähnlich: Laubreiche P. –;Mehl-P.;P. farinosa L.Ähnlich: Laubreiche P. –;P. farinosa L.Ähnlich: Laubreiche P. –;P. farinosa L.;P. farinosa L.;P. farinosa
Weißblütige P.;– P. chionantha BALF. f. et FORREST38 (3;Weißblütige P.;P. chionantha BALF. f. et FORREST38 (3;P. chionantha BALF. f. et FORREST38 (3;P. chionantha BALF. f. et FORREST;P. chionantha BALF. f. et FORREST;P. chionantha f.
Sikkim-P.;– P. sikkimensis HOOK.;Sikkim-P.;P. sikkimensis HOOK.;P. sikkimensis HOOK.;P. sikkimensis HOOK.;P. sikkimensis HOOK.;P. sikkimensis
Hohe P., Wald-P., Hohe Sch., Himmelschlüssel;– P. elatior (L.) HILL39* KrSaum ± glock;Hohe P., Wald-P., Hohe Sch., Himmelschlüssel;P. elatior (L.) HILL39* KrSaum ± glock;P. elatior (L.) HILL39* KrSaum ± glock;P. elatior (L.) HILL;P. elatior (L.) HILL;P. elatior
Poisson-P.;– P. poissonii FRANCH.;Poisson-P.;P. poissonii FRANCH.;P. poissonii FRANCH.;P. poissonii FRANCH.;P. poissonii FRANCH.;P. poissonii
Orangeblütige P.;– P. aurantiaca W. W. SM. et FORREST43* ;Orangeblütige P.;P. aurantiaca W. W. SM. et FORREST43* ;P. aurantiaca W. W. SM. et FORREST43* ;P. aurantiaca W. W. SM. et FORREST;P. aurantiaca W. W. SM. et FORREST;P. aurantiaca
Bulley-P.;– P. bulleyana FORREST subsp. bulleyana4;Bulley-P.;P. bulleyana FORREST subsp. bulleyana4;P. bulleyana FORREST subsp. bulleyana4;P. bulleyana FORREST subsp. bulleyana;P. bulleyana FORREST subsp. bulleyana;P. bulleyana subsp. bulleyana
Cockburn-P.;– P. cockburniana HEMSL., s. 4533* Kr ge;Cockburn-P.;P. cockburniana HEMSL., s. 4533* Kr ge;P. cockburniana HEMSL., s. 4533* Kr ge;P. cockburniana HEMSL., s. ;P. cockburniana HEMSL., s. ;P. cockburniana
Yunnan-P.;– P. chungensis BALF. f. et KINGDON-WARD;Yunnan-P.;P. chungensis BALF. f. et KINGDON-WARD;P. chungensis BALF. f. et KINGDON-WARD;P. chungensis BALF. f. et KINGDON-WARD;P. chungensis BALF. f. et KINGDON-WARD;P. chungensis f.
Japan-P.;– P. japonica A. GRAY48* Bl verkehrteila;Japan-P.;P. japonica A. GRAY48* Bl verkehrteila;P. japonica A. GRAY48* Bl verkehrteila;P. japonica A. GRAY;P. japonica A. GRAY;P. japonica
Burma-P.;– P. burmanica BALF. f. et KINGDON-WARD4;Burma-P.;P. burmanica BALF. f. et KINGDON-WARD4;P. burmanica BALF. f. et KINGDON-WARD4;P. burmanica BALF. f. et KINGDON-WARD;P. burmanica BALF. f. et KINGDON-WARD;P. burmanica f.
Bees-P.;– P. bulleyana FORREST subsp. beesiana (;Bees-P.;P. bulleyana FORREST subsp. beesiana (;P. bulleyana FORREST subsp. beesiana (;P. bulleyana FORREST subsp. beesiana (;P. bulleyana FORREST subsp. beesiana (;P. bulleyana subsp. beesiana
Sichuan-P.;– P. pulverulenta DUTHIE;Sichuan-P.;P. pulverulenta DUTHIE;P. pulverulenta DUTHIE;P. pulverulenta DUTHIE;P. pulverulenta DUTHIE;P. pulverulenta
Hüllkelch-D.;– D. involucrata ZAPRJAG.;Hüllkelch-D.;D. involucrata ZAPRJAG.;D. involucrata ZAPRJAG.;D. involucrata ZAPRJAG.;D. involucrata ZAPRJAG.;D. involucrata
Rollblatt-D.;– D. aretioides (LEHM.) BOISS.2* Bl am b;Rollblatt-D.;D. aretioides (LEHM.) BOISS.2* Bl am b;D. aretioides (LEHM.) BOISS.2* Bl am b;D. aretioides (LEHM.) BOISS.;D. aretioides (LEHM.) BOISS.;D. aretioides
Matten-D.;– D. tapetodes BUNGE;Matten-D.;D. tapetodes BUNGE;D. tapetodes BUNGE;D. tapetodes BUNGE;D. tapetodes BUNGE;D. tapetodes
Gezähnte G.;– D. dentatum HOOK.2* Narbe doppelt so b;Gezähnte G.;D. dentatum HOOK.2* Narbe doppelt so b;D. dentatum HOOK.2* Narbe doppelt so b;D. dentatum HOOK.;D. dentatum HOOK.;D. dentatum
Alpine G.;– D. alpinum (A. GRAY) GREENE;Alpine G.;D. alpinum (A. GRAY) GREENE;D. alpinum (A. GRAY) GREENE;D. alpinum (A. GRAY) GREENE;D. alpinum (A. GRAY) GREENE;D. alpinum
Hohe G.;– D. jeffreyi VAN HOUTTE;Hohe G.;D. jeffreyi VAN HOUTTE;D. jeffreyi VAN HOUTTE;D. jeffreyi VAN HOUTTE;D. jeffreyi VAN HOUTTE;D. jeffreyi
Henderson-G;. – D. hendersonii A. GRAY5* Rhizom zur ;Henderson-G.;D. hendersonii A. GRAY5* Rhizom zur ;D. hendersonii A. GRAY5* Rhizom zur ;D. hendersonii A. GRAY;D. hendersonii A. GRAY;D. hendersonii
Cleveland-G.;– D. clevelandii GREENE;Cleveland-G.;D. clevelandii GREENE;D. clevelandii GREENE;D. clevelandii GREENE;D. clevelandii GREENE;D. clevelandii
Schöne G.;– D. pulchellum (RAF.) MERR. subsp. pulc;Schöne G.;D. pulchellum (RAF.) MERR. subsp. pulc;D. pulchellum (RAF.) MERR. subsp. pulc;D. pulchellum (RAF.) MERR. subsp. pulc;D. pulchellum (RAF.) MERR. subsp. pulc;D. pulchellum subsp. pulc
Columbia-G.;– D. pulchellum (RAF.) MERR. subsp. cusi;Columbia-G.;D. pulchellum (RAF.) MERR. subsp. cusi;D. pulchellum (RAF.) MERR. subsp. cusi;D. pulchellum (RAF.) MERR. subsp. cusi;D. pulchellum (RAF.) MERR. subsp. cusi;D. pulchellum subsp. cusi
Mead-G.;– D. meadia L.;Mead-G.;D. meadia L.;D. meadia L.;D. meadia L.;D. meadia L.;D. meadia
Karpatisches Zwerg-A.;– S. pusilla BAUMG.;Karpatisches Zwerg-A.;S. pusilla BAUMG.;S. pusilla BAUMG.;S. pusilla BAUMG.;S. pusilla BAUMG.;S. pusilla
Pindus-A.;– S. pindicola HAUSSKN.;Pindus-A.;S. pindicola HAUSSKN.;S. pindicola HAUSSKN.;S. pindicola HAUSSKN.;S. pindicola HAUSSKN.;S. pindicola
Karpaten-A.;– S. carpatica VIERH.;Karpaten-A.;S. carpatica VIERH.;S. carpatica VIERH.;S. carpatica VIERH.;S. carpatica VIERH.;S. carpatica
Ungarisches A.;– S. hungarica SIMONK.Ähnlich: Bulgarisc;Ungarisches A.;S. hungarica SIMONK.Ähnlich: Bulgarisc;S. hungarica SIMONK.Ähnlich: Bulgarisc;S. hungarica SIMONK.;S. hungarica SIMONK.;S. hungarica
Südliche D.;– G. stipulata (MUHL.) BAILL.1* NebenBl ;Südliche D.;G. stipulata (MUHL.) BAILL.1* NebenBl ;G. stipulata (MUHL.) BAILL.1* NebenBl ;G. stipulata (MUHL.) BAILL.;G. stipulata (MUHL.) BAILL.;G. stipulata
Nördliche D.;– G. trifoliata (L.) MOENCH;Nördliche D.;G. trifoliata (L.) MOENCH;G. trifoliata (L.) MOENCH;G. trifoliata (L.) MOENCH;G. trifoliata (L.) MOENCH;G. trifoliata
Mattenbildende F.;– P. caespitosum (NUTT. ex TORR. et A. G;Mattenbildende F.;P. caespitosum (NUTT. ex TORR. et A. G;P. caespitosum (NUTT. ex TORR. et A. G;P. caespitosum (NUTT. ex TORR. et A. G;P. caespitosum (NUTT. ex TORR. et A. G;P. caespitosum
Aschgraue F.;– P. cinerascens (PIPER) RYDB.2* StaubBl;Aschgraue F.;P. cinerascens (PIPER) RYDB.2* StaubBl;P. cinerascens (PIPER) RYDB.2* StaubBl;P. cinerascens (PIPER) RYDB.;P. cinerascens (PIPER) RYDB.;P. cinerascens
Henderson-F.;– P. hendersonii (CANBY) RYDB.;Henderson-F.;P. hendersonii (CANBY) RYDB.;P. hendersonii (CANBY) RYDB.;P. hendersonii (CANBY) RYDB.;P. hendersonii (CANBY) RYDB.;P. hendersonii
Westamerikanische L.;– L. pectinata (PURSH) KUNTZE;Westamerikanische L.;L. pectinata (PURSH) KUNTZE;L. pectinata (PURSH) KUNTZE;L. pectinata (PURSH) KUNTZE;L. pectinata (PURSH) KUNTZE;L. pectinata
Wald-G.;– A. dioicus (WALTER) FERNALDÄhnlich: Ko;Wald-G.;A. dioicus (WALTER) FERNALDÄhnlich: Ko;A. dioicus (WALTER) FERNALDÄhnlich: Ko;A. dioicus (WALTER) FERNALD;A. dioicus (WALTER) FERNALD;A. dioicus
Kleines M., Knollen-S., Filipendelwurz;– F. vulgaris MOENCH;Kleines M., Knollen-S., Filipendelwurz;F. vulgaris MOENCH;F. vulgaris MOENCH;F. vulgaris MOENCH;F. vulgaris MOENCH;F. vulgaris
Rotes M., Amerikanisches M.;– F. rubra (HILL) B. L. ROB.3* KrBl weiß;Rotes M., Amerikanisches M.;F. rubra (HILL) B. L. ROB.3* KrBl weiß;F. rubra (HILL) B. L. ROB.3* KrBl weiß;F. rubra (HILL) B. L. ROB.;F. rubra (HILL) B. L. ROB.;F. rubra
Handblättriges M.;– F. palmata (PALL.) MAXIM.4 (2) Seitenf;Handblättriges M.;F. palmata (PALL.) MAXIM.4 (2) Seitenf;F. palmata (PALL.) MAXIM.4 (2) Seitenf;F. palmata (PALL.) MAXIM.;F. palmata (PALL.) MAXIM.;F. palmata
Echtes M., Großes M.;– F. ulmaria (L.) MAXIM.;Echtes M., Großes M.;F. ulmaria (L.) MAXIM.;F. ulmaria (L.) MAXIM.;F. ulmaria (L.) MAXIM.;F. ulmaria (L.) MAXIM.;F. ulmaria
Kamtschatka-M.;– F. camtschatica (PALL.) MAXIM.5* BStie;Kamtschatka-M.;F. camtschatica (PALL.) MAXIM.5* BStie;F. camtschatica (PALL.) MAXIM.5* BStie;F. camtschatica (PALL.) MAXIM.;F. camtschatica (PALL.) MAXIM.;F. camtschatica
Hybrid-M.;– F. × purpurea MAXIM.;Hybrid-M.;F. × purpurea MAXIM.;F. × purpurea MAXIM.;F. × purpurea MAXIM.;F. × purpurea MAXIM.;F. purpurea
Zimt-H.;– R. odoratus L.2* Staude od. Spalierstr;Zimt-H.;R. odoratus L.2* Staude od. Spalierstr;R. odoratus L.2* Staude od. Spalierstr;R. odoratus L.;R. odoratus L.;R. odoratus
Kriech-H.;– R. pentalobus HAYATA;Kriech-H.;R. pentalobus HAYATA;R. pentalobus HAYATA;R. pentalobus HAYATA;R. pentalobus HAYATA;R. pentalobus
Alåkerbeere;– R. × stellarcticus (E. G. K. LARSSON) ;Alåkerbeere;R. × stellarcticus (E. G. K. LARSSON) ;R. × stellarcticus (E. G. K. LARSSON) ;R. × stellarcticus (E. G. K. LARSSON) ;R. × stellarcticus (E. G. K. LARSSON) ;R. × stellarcticus
Himalaja-H.;– R. nepalensis (HOOKER f.) KUNTZE6 (4) ;Himalaja-H.;R. nepalensis (HOOKER f.) KUNTZE6 (4) ;R. nepalensis (HOOKER f.) KUNTZE6 (4) ;R. nepalensis (HOOKER f.) KUNTZE;R. nepalensis (HOOKER f.) KUNTZE;R. nepalensis
Japanische H.;– R. illecebrosus FOCKEBem.: Weitere in ;Japanische H.;R. illecebrosus FOCKEBem.: Weitere in ;R. illecebrosus FOCKEBem.: Weitere in ;R. illecebrosus FOCKEBem.;R. illecebrosus FOCKEBem.;R. illecebrosus
Kleiner O.;– A. eupatoria L. 1* Bl useits grün bis ;Kleiner O.;A. eupatoria L. 1* Bl useits grün bis ;A. eupatoria L. 1* Bl useits grün bis ;A. eupatoria L. ;A. eupatoria L. ;A. eupatoria
Großer O.;– A. procera WALLR.Wiesenknopf – Sanguis;Großer O.;A. procera WALLR.Wiesenknopf – Sanguis;A. procera WALLR.Wiesenknopf – Sanguis;A. procera WALLR.Wiesenknopf – Sanguis;A. procera WALLR.Wiesenknopf – Sanguis;A. procera
Kleiner W., Kleine Bibernelle;– S. minor SCOP.1* BStände eilänglich od;Kleiner W., Kleine Bibernelle;S. minor SCOP.1* BStände eilänglich od;S. minor SCOP.1* BStände eilänglich od;S. minor SCOP.;S. minor SCOP.;S. minor
Südalpischer W.;– S. dodecandra MORETTI3* KBl rötlichpur;Südalpischer W.;S. dodecandra MORETTI3* KBl rötlichpur;S. dodecandra MORETTI3* KBl rötlichpur;S. dodecandra MORETTI;S. dodecandra MORETTI;S. dodecandra
Hakusan-W.;– S. hakusanensis MAKINO;Hakusan-W.;S. hakusanensis MAKINO;S. hakusanensis MAKINO;S. hakusanensis MAKINO;S. hakusanensis MAKINO;S. hakusanensis
Großer W.;– S. officinalis L.;Großer W.;S. officinalis L.;S. officinalis L.;S. officinalis L.;S. officinalis L.;S. officinalis
Kanadischer W.;– S. canadensis L.;Kanadischer W.;S. canadensis L.;S. canadensis L.;S. canadensis L.;S. canadensis L.;S. canadensis
Ostasiatischer W.;– S. tenuifolia FISCH. ex LINK;Ostasiatischer W.;S. tenuifolia FISCH. ex LINK;S. tenuifolia FISCH. ex LINK;S. tenuifolia FISCH. ex LINK;S. tenuifolia FISCH. ex LINK;S. tenuifolia
Unbewehrtes St.;– A. inermis HOOK. f.1* BBoden mit Stach;Unbewehrtes St.;A. inermis HOOK. f.1* BBoden mit Stach;A. inermis HOOK. f.1* BBoden mit Stach;A. inermis HOOK. f.;A. inermis HOOK. f.;A. inermis f.
Seidenhaariges St.;– A. sericea J. JACQ.3* Blchen (13–)15–3;Seidenhaariges St.;A. sericea J. JACQ.3* Blchen (13–)15–3;A. sericea J. JACQ.3* Blchen (13–)15–3;A. sericea J. JACQ.;A. sericea J. JACQ.;A. sericea
Tausendblättriges St.;– A. myriophylla LINDL.;Tausendblättriges St.;A. myriophylla LINDL.;A. myriophylla LINDL.;A. myriophylla LINDL.;A. myriophylla LINDL.;A. myriophylla
Südamerikanisches St.;– A. ovalifolia RUIZ et PAV.Ähnlich: Mag;Südamerikanisches St.;A. ovalifolia RUIZ et PAV.Ähnlich: Mag;A. ovalifolia RUIZ et PAV.Ähnlich: Mag;A. ovalifolia RUIZ et PAV.;A. ovalifolia RUIZ et PAV.;A. ovalifolia
Braunblättriges St.;– A. microphylla HOOK. f.6* Stacheln an ;Braunblättriges St.;A. microphylla HOOK. f.6* Stacheln an ;A. microphylla HOOK. f.6* Stacheln an ;A. microphylla HOOK. f.;A. microphylla HOOK. f.;A. microphylla f.
Blaugrünes St.;– A. buchananii HOOK. f.;Blaugrünes St.;A. buchananii HOOK. f.;A. buchananii HOOK. f.;A. buchananii HOOK. f.;A. buchananii HOOK. f.;A. buchananii f.
Piripiri-St.;– A. novae-zelandiae KIRK;Piripiri-St.;A. novae-zelandiae KIRK;A. novae-zelandiae KIRK;A. novae-zelandiae KIRK;A. novae-zelandiae KIRK;A. novae-zelandiae
Gänsefingerkraut-St.;– A. anserinifolia (J. R. FORST. et G. F;Gänsefingerkraut-St.;A. anserinifolia (J. R. FORST. et G. F;A. anserinifolia (J. R. FORST. et G. F;A. anserinifolia (J. R. FORST. et G. F;A. anserinifolia (J. R. FORST. et G. F;A. anserinifolia
Graublaues St.;– A. caesiiglauca (BITTER) BERGMANS;Graublaues St.;A. caesiiglauca (BITTER) BERGMANS;A. caesiiglauca (BITTER) BERGMANS;A. caesiiglauca (BITTER) BERGMANS;A. caesiiglauca (BITTER) BERGMANS;A. caesiiglauca
Magellan-St.;– A. magellanica (LAM.) VAHL: Blchen 9–1;Magellan-St.;A. magellanica (LAM.) VAHL: Blchen 9–1;A. magellanica (LAM.) VAHL: Blchen 9–1;A. magellanica (LAM.) VAHL;A. magellanica (LAM.) VAHL;A. magellanica
Gelbe S.;– A. rugosa ALEF.: Kr gelb. StgBl meist ;Gelbe S.;A. rugosa ALEF.: Kr gelb. StgBl meist ;A. rugosa ALEF.: Kr gelb. StgBl meist ;A. rugosa ALEF.;A. rugosa ALEF.;A. rugosa
Ross-N.;– G. rossii (R. BR.) SER.;Ross-N.;G. rossii (R. BR.) SER.;G. rossii (R. BR.) SER.;G. rossii (R. BR.) SER.;G. rossii (R. BR.) SER.;G. rossii
Kriechende N.;– G. reptans L.;Kriechende N.;G. reptans L.;G. reptans L.;G. reptans L.;G. reptans L.;G. reptans
Prärie-N.;– G. triflorum PURSH5 (2) B aufrecht. Kr;Prärie-N.;G. triflorum PURSH5 (2) B aufrecht. Kr;G. triflorum PURSH5 (2) B aufrecht. Kr;G. triflorum PURSH;G. triflorum PURSH;G. triflorum
Berg-N., Petersbart;– G. montanum L.;Berg-N., Petersbart;G. montanum L.;G. montanum L.;G. montanum L.;G. montanum L.;G. montanum
Bulgarische N.;– D. microlepis BOISS.: Bl silbergrau-be;Bulgarische N.;D. microlepis BOISS.: Bl silbergrau-be;D. microlepis BOISS.: Bl silbergrau-be;D. microlepis BOISS.;D. microlepis BOISS.;D. microlepis
Bach-N.;– G. rivale L.;Bach-N.;G. rivale L.;G. rivale L.;G. rivale L.;G. rivale L.;G. rivale
Rote N.;– D. cruentus GRISEB.;Rote N.;D. cruentus GRISEB.;D. cruentus GRISEB.;D. cruentus GRISEB.;D. cruentus GRISEB.;D. cruentus
Japanische N.;– G. japonicum THUNB.8* BStiel mit Borst;Japanische N.;G. japonicum THUNB.8* BStiel mit Borst;G. japonicum THUNB.8* BStiel mit Borst;G. japonicum THUNB.;G. japonicum THUNB.;G. japonicum
Russische N.;– G. aleppicum JACQ.Bem.: Die Arten der ;Russische N.;G. aleppicum JACQ.Bem.: Die Arten der ;G. aleppicum JACQ.Bem.: Die Arten der ;G. aleppicum JACQ.Bem.;G. aleppicum JACQ.Bem.;G. aleppicum
Gelapptblättrige W.;– W. geoides WILLD.;Gelapptblättrige W.;W. geoides WILLD.;W. geoides WILLD.;W. geoides WILLD.;W. geoides WILLD.;W. geoides
Dreiblättrige W.;– W. ternata (STEPHAN) FRITSCHÄhnlich: E;Dreiblättrige W.;W. ternata (STEPHAN) FRITSCHÄhnlich: E;W. ternata (STEPHAN) FRITSCHÄhnlich: E;W. ternata (STEPHAN) FRITSCH;W. ternata (STEPHAN) FRITSCH;W. ternata
Dsungarisches F.;– P. salesoviana STEPHAN;Dsungarisches F.;P. salesoviana STEPHAN;P. salesoviana STEPHAN;P. salesoviana STEPHAN;P. salesoviana STEPHAN;P. salesoviana
Strauch-F., Fingerstrauch;– P. fruticosa L.;Strauch-F., Fingerstrauch;P. fruticosa L.;P. fruticosa L.;P. fruticosa L.;P. fruticosa L.;P. fruticosa
Sumpf-F., Blutauge;– P. palustris (L.) SCOP.;Sumpf-F., Blutauge;P. palustris (L.) SCOP.;P. palustris (L.) SCOP.;P. palustris (L.) SCOP.;P. palustris (L.) SCOP.;P. palustris
Felsen-F.;– P. rupestris L.Ähnlich: Großes F. – P.;Felsen-F.;P. rupestris L.Ähnlich: Großes F. – P.;P. rupestris L.Ähnlich: Großes F. – P.;P. rupestris L.;P. rupestris L.;P. rupestris
Schlitzblättriges F.;– P. multifida L.;Schlitzblättriges F.;P. multifida L.;P. multifida L.;P. multifida L.;P. multifida L.;P. multifida
Gänse-F.;– P. anserina L.;Gänse-F.;P. anserina L.;P. anserina L.;P. anserina L.;P. anserina L.;P. anserina
Zweispaltiges F.;– P. bifurca L.;Zweispaltiges F.;P. bifurca L.;P. bifurca L.;P. bifurca L.;P. bifurca L.;P. bifurca
Chinesisches F.;– P. chinensis SER.;Chinesisches F.;P. chinensis SER.;P. chinensis SER.;P. chinensis SER.;P. chinensis SER.;P. chinensis
Blutwurz, Tormentill;– P. erecta (L.) RAEUSCH.10* Untere StgB;Blutwurz, Tormentill;P. erecta (L.) RAEUSCH.10* Untere StgB;P. erecta (L.) RAEUSCH.10* Untere StgB;P. erecta (L.) RAEUSCH.;P. erecta (L.) RAEUSCH.;P. erecta
Englisches F.;– P. anglica LAICHARD.;Englisches F.;P. anglica LAICHARD.;P. anglica LAICHARD.;P. anglica LAICHARD.;P. anglica LAICHARD.;P. anglica
Ansehnliches F.;– P. speciosa WILLD.;Ansehnliches F.;P. speciosa WILLD.;P. speciosa WILLD.;P. speciosa WILLD.;P. speciosa WILLD.;P. speciosa
Dolomiten-F.;– P. nitida L.;Dolomiten-F.;P. nitida L.;P. nitida L.;P. nitida L.;P. nitida L.;P. nitida
Erdbeer-F.;– P. sterilis (L.) GARCKE;Erdbeer-F.;P. sterilis (L.) GARCKE;P. sterilis (L.) GARCKE;P. sterilis (L.) GARCKE;P. sterilis (L.) GARCKE;P. sterilis
Blutrotes F.;– P. atrosanguinea LODD. ex D. DON var. ;Blutrotes F.;P. atrosanguinea LODD. ex D. DON var. ;P. atrosanguinea LODD. ex D. DON var. ;P. atrosanguinea LODD. ex D. DON var. ;P. atrosanguinea LODD. ex D. DON var. ;P. atrosanguinea var. atrosanguinea
Keiliges F.;– P. cuneata (WALL.) LEHM.;Keiliges F.;P. cuneata (WALL.) LEHM.;P. cuneata (WALL.) LEHM.;P. cuneata (WALL.) LEHM.;P. cuneata (WALL.) LEHM.;P. cuneata
Wollfrüchtiges F.;– P. eriocarpa WALL. ex LEHM.18 (16) End;Wollfrüchtiges F.;P. eriocarpa WALL. ex LEHM.18 (16) End;P. eriocarpa WALL. ex LEHM.18 (16) End;P. eriocarpa WALL. ex LEHM.;P. eriocarpa WALL. ex LEHM.;P. eriocarpa
Japanisches F.;– P. megalantha TAKEDA;Japanisches F.;P. megalantha TAKEDA;P. megalantha TAKEDA;P. megalantha TAKEDA;P. megalantha TAKEDA;P. megalantha
Silber-F.;– P. atrosanguinea LODD. ex D. DON var.a;Silber-F.;P. atrosanguinea LODD. ex D. DON var.a;P. atrosanguinea LODD. ex D. DON var.a;P. atrosanguinea LODD. ex D. DON var.a;P. atrosanguinea LODD. ex D. DON var.a;P. atrosanguinea var. argyrophylla
