genus_vernacular;species_vernacular;genus_scientific;species_scientific;primary_use;secondary_use;wild
Fingerkraut;Keiliges F.;Potentilla;P. cuneata;Z;NA;NA
Fingerkraut;Wollfrüchtiges F.;Potentilla;P. eriocarpa;Z;NA;NA
Fingerkraut;Japanisches F.;Potentilla;P. megalantha;Z;NA;NA
Fingerkraut;Silber-F.;Potentilla;P. atrosanguinea var. argyrophylla;Z;NA;NA
Fingerkraut;Silber-F.;Potentilla;P. argentea;Z;NA;W
Fingerkraut;Nepal-F.;Potentilla;P. nepalensis;Z;NA;NA
Fingerkraut;Hybrid-F.;Potentilla;P. tonguei;Z;NA;NA
Fingerkraut;Stängel-F.;Potentilla;P. caulescens;Z;NA;W
Fingerkraut;Weißes F.;Potentilla;P. alba;Z;NA;W
Fingerkraut;Ostalpen-F.;Potentilla;P. clusiana;Z;NA;W
Fingerkraut;Kriechendes F.;Potentilla;P. reptans;Z;NA;W
Fingerkraut;Gold-F.;Potentilla;P. aurea subsp. aurea;Z;NA;W
Fingerkraut;Sand-F.;Potentilla;P. cinerea;Z;NA;W
Fingerkraut;Frühlings-F.;Potentilla;P. neumanniana;Z;NA;W
Fingerkraut;Rötliches F.;Potentilla;P. heptaphylla;Z;NA;W
Fingerkraut;Aufrechtes F.;Potentilla;P. recta;Z;NA;W
Fingerkraut;Zottiges F., Crantz-F.;Potentilla;P. crantzii;Z;NA;W
Erdbeere;Garten-E.;Fragaria;F. × ananassa;Z;N;NA
Elfenspiegel, Venusspiegel, Nemesie;Garten-E.;Nemesia;Nemesia-Hybriden;Z;NA;NA
Erdbeere;Scharlach-E., Virginische E.;Fragaria;F. virginiana;Z;NA;NA
Erdbeere;Chile-E.;Fragaria;F. chiloensis;Z;NA;NA
Erdbeere;Scharlach-E., Virginische E.;Fragaria;F. virginiana;Z;NA;NA
Erdbeere;Zimt-E.;Fragaria;F. moschata;N;Z;NA
Erdbeere;Wald-E.;Fragaria;F. vesca;N;NA;W
Scheinerdbeere, Indische Erdbeere;Indische Sch.;Duchesnea;D. indica;Z;NA;W
Gelbling;Gelbling;Sibbaldia;S. procumbens;Z;NA;W
Frauenmantel, Silbermantel, Sinau;Langzähniger F.;Alchemilla;A. sericea;Z;NA;NA
Frauenmantel, Silbermantel, Sinau;Verbundener F.;Alchemilla;A. conjuncta;Z;NA;NA
Frauenmantel, Silbermantel, Sinau;Glänzender F.;Alchemilla;A. nitida;Z;NA;W
Frauenmantel, Silbermantel, Sinau;Hoppe-F.;Alchemilla;A. hoppeana;Z;NA;W
