Vernacular_name;Species;Genus;Author
Lerchensporn;Felsen-L., Wiesenrauten-L.;Corydalis;DC.
Lerchensporn;Farnblättriger L.;Corydalis;DC.
Lerchensporn;Karatau-L. –;Corydalis;DC.
Lerchensporn;Kaschmir-L., Blauer Himalaja-L.;Corydalis;DC.
Lerchensporn;Sichuan-L;Corydalis;DC.
Lerchensporn;Finger-L;Corydalis;DC.
Lerchensporn;Schmalblättriger L.;Corydalis;DC.
Lerchensporn;Hohler L.;Corydalis;DC.
Scheinlerchensporn;Blassgelber Sch;Pseudofumaria;MEDIK.
Scheinlerchensporn;Gelber Sch.;Pseudofumaria;MEDIK.
Rankenlerchensporn;Rankenlerchensporn;Ceratocapnos;DURIEU
Felserdrauch, Felsrauch;Afrikanischer F.;Rupicapnos;POMEL
Houttuynie;Houttuynie;Houttuynie;THUNB.
Eidechsenschwanz;Kalifornischer E.;Anemopsis;HOOK.
Molchschwanz;Amerikanischer M.;Saururus;L.
Molchschwanz;Asiatischer M.;Saururus;L.
Urhaselwurz;Chinesische U.;Saruma;OLIV.
Haselwurz;Arumblättrige H.;Asarum;L.
Haselwurz;Schönblättrige H.;Asarum;L.
Haselwurz;Ruth-H.;Asarum;L.
Haselwurz;Shuttleworth-H.;Asarum;L.
Haselwurz;Virginische H.;Asarum;L.
Haselwurz;Hartweg-H.;Asarum;L.
Haselwurz;Europäische H.;Asarum;L.
Haselwurz;Kanadische H.;Asarum;L.
Haselwurz;Geschwänzte H.;Asarum;L.
Pfeifenwinde, Osterluzei;Gewöhnliche O.;Aristolochia;L.
Pfeifenwinde, Osterluzei;Knollige O., Rundblättrige O.;Aristolochia;L.
Pfeifenwinde, Osterluzei;Amerikanische P.;Aristolochia;L.
Pfeifenwinde, Osterluzei;Filzige P.;Aristolochia;L.
Pfeifenwinde, Osterluzei;Chinesische P.;Aristolochia;L.
Pfeifenwinde, Osterluzei;Mandschurische P.;Aristolochia;L.
Lorbeer;Gewürz-Lorbeer, Lorbeerbaum;Laurus;L.
Hopfen;Gewöhnlicher H.;Humulus;L.
Hopfen;Japanischer Hopfen;Humulus;L.
Hanf;Opium-Hanf;Cannabis;L.
Hanf;Faser-H.;Cannabis;L.
Brennnessel;Kleine B.;Urtica;L.
Brennnessel;Große B.;Urtica;L.
Kermesbeere;Amerikanische K.;Phytolacca;L.
Kermesbeere;Asiatische K.;Phytolacca;L.
Aptenie;Herzblättrige A.;Aptenia;N. E. Br.
Eiskraut;Kristall-E.;Mesembryanthemum;L.
Mittagsblume;Garten-M., Gänseblumenartige M.;Dorotheanthus;SCHWANTES
Mittagsblume;Keulenförmige M.;Dorotheanthus;SCHWANTES
Carpanthea;Nachmittagsblütige C.;NA;NA
Delosperma;Aberdeen-D.;Delosperma;N.
Delosperma;Sutherland-D.;Delosperma;N.
Delosperma;Cooper-D.;Delosperma;N.
Lampranthus;Rosablütiger L.;Lampranthus;N.
Lampranthus;Ansehnlicher L.;Lampranthus;N.
Tetragonia;Neuseeländischer Spinat;Tetragonia;L.
Feigenkaktus;Zerbrechlicher F.;Opuntia;MILL.
Feigenkaktus;Dachziegelartiger F.;Opuntia;MILL.
Feigenkaktus;Niederliegender F.;Opuntia;MILL.
